GSMID	GSEID	BrendaTerm
GSM249869	GSE9890, GSE9899	ovarian serous carcinoma cell
GSM249868	GSE9890, GSE9899	endometrioid carcinoma cell
GSM249866	GSE9890, GSE9899	ovarian serous carcinoma cell
GSM249861	GSE9890, GSE9899	ovarian serous carcinoma cell
GSM249860	GSE9890, GSE9899	ovarian serous carcinoma cell
GSM249863	GSE9890, GSE9899	ovarian serous carcinoma cell
GSM249862	GSE9890, GSE9899	ovarian serous carcinoma cell
GSM152011	GSE6575	blood
GSM152010	GSE6575	blood
GSM152013	GSE6575	blood
GSM152012	GSE6575	blood
GSM152015	GSE6575	blood
GSM152014	GSE6575	blood
GSM152017	GSE6575	blood
GSM152016	GSE6575	blood
GSM654658	GSE26599	breast epithelial cell, HB4a cell
GSM654659	GSE26599	breast epithelial cell, HB4a cell
GSM387118	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM387119	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM387111	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM387112	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM387113	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM388137	GSE15471	pancreas
GSM388135	GSE15471	pancreas
GSM388134	GSE15471	pancreas
GSM388133	GSE15471	pancreas
GSM388132	GSE15471	pancreas
GSM388131	GSE15471	pancreas
GSM388130	GSE15471	pancreas
GSM297879	GSE11761	peripheral blood mononuclear cell
GSM297878	GSE11761	peripheral blood mononuclear cell
GSM297875	GSE11761	peripheral blood mononuclear cell
GSM297874	GSE11761	peripheral blood mononuclear cell
GSM297877	GSE11761	peripheral blood mononuclear cell
GSM297876	GSE11761	peripheral blood mononuclear cell
GSM297871	GSE11761	peripheral blood mononuclear cell
GSM297870	GSE11761	peripheral blood mononuclear cell
GSM297873	GSE11761	peripheral blood mononuclear cell
GSM297872	GSE11761	peripheral blood mononuclear cell
GSM521611	GSE20854	Ishikawa cell
GSM493987	GSE19784	multiple myeloma cell, plasma cell, bone marrow
GSM187268	GSE7700	MDA-MB-231 cell
GSM187269	GSE7700	MDA-MB-231 cell
GSM386249	GSE15389, GSE15396	peripheral blood mononuclear cell
GSM386243	GSE15389, GSE15396	peripheral blood mononuclear cell
GSM386241	GSE15389, GSE15396	peripheral blood mononuclear cell
GSM493986	GSE19784	multiple myeloma cell, plasma cell, bone marrow
GSM493984	GSE19784	multiple myeloma cell, plasma cell, bone marrow
GSM300238	GSE11882	entorhinal cortex
GSM300239	GSE11882	hippocampus
GSM300230	GSE11882	entorhinal cortex
GSM300231	GSE11882	hippocampus
GSM300234	GSE11882	entorhinal cortex
GSM300235	GSE11882	hippocampus
GSM306179	GSE12172	ovarian serous carcinoma cell
GSM306178	GSE12172	ovarian serous carcinoma cell
GSM306175	GSE12172	ovarian serous carcinoma cell
GSM306174	GSE12172	ovarian serous carcinoma cell
GSM306177	GSE12172	ovarian low malignant potential tumor cell
GSM306176	GSE12172	ovarian low malignant potential tumor cell
GSM306171	GSE12172	ovarian serous carcinoma cell
GSM306170	GSE12172	ovarian serous carcinoma cell
GSM306173	GSE12172	ovarian low malignant potential tumor cell
GSM306172	GSE12172	ovarian low malignant potential tumor cell
GSM543329	GSE21826	peripheral blood
GSM342787	GSE13070	adipose tissue
GSM342782	GSE13070	adipose tissue
GSM342783	GSE13070	skeletal muscle
GSM342781	GSE13070	adipose tissue
GSM490991	GSE19665	liver
GSM342788	GSE13070	adipose tissue
GSM342789	GSE13070	skeletal muscle
GSM151977	GSE6575	blood
GSM151976	GSE6575	blood
GSM151975	GSE6575	blood
GSM151974	GSE6575	blood
GSM151973	GSE6575	blood
GSM151972	GSE6575	blood
GSM151971	GSE6575	blood
GSM151970	GSE6575	blood
GSM490990	GSE19665	liver
GSM151979	GSE6575	blood
GSM151978	GSE6575	blood
GSM553481	GSE22224	peripheral blood mononuclear cell
GSM553480	GSE22224	peripheral blood mononuclear cell
GSM553483	GSE22224	peripheral blood mononuclear cell
GSM553482	GSE22224	peripheral blood mononuclear cell
GSM553485	GSE22224	peripheral blood mononuclear cell
GSM553487	GSE22224	peripheral blood mononuclear cell
GSM553486	GSE22224	peripheral blood mononuclear cell
GSM490993	GSE19665	liver
GSM578899	GSE23604	peripheral blood
GSM542591	GSE21774	natural killer cell, peripheral blood mononuclear cell
GSM531690	GSE21261	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM531691	GSE21261	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM531692	GSE21261	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM531693	GSE21261	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM531694	GSE21261	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM531695	GSE21261	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM390160	GSE15602	synovial tissue
GSM402541	GSE11783	urinary bladder
GSM476267	GSE12195	B-lymphocyte, tonsil
GSM476266	GSE12195	B-lymphocyte, tonsil
GSM476265	GSE12195	B-lymphocyte, tonsil
GSM476264	GSE12195	B-lymphocyte, tonsil
GSM476263	GSE12195	B-lymphocyte, tonsil
GSM476262	GSE12195	B-lymphocyte, tonsil
GSM476261	GSE12195	B-lymphocyte, tonsil
GSM476260	GSE12195	B-lymphocyte, tonsil
GSM490999	GSE19665	liver
GSM475790	GSE19188	lung
GSM475798	GSE19188	lung
GSM490998	GSE19665	liver
GSM516801	GSE20565	ovarian serous carcinoma cell
GSM250029	GSE9894	hematopoietic cell, bone marrow
GSM250028	GSE9894	hematopoietic cell, bone marrow
GSM306948	GSE12195	lymph node
GSM306949	GSE12195	lymph node
GSM306944	GSE12195	lymph node
GSM306946	GSE12195	lymph node
GSM306947	GSE12195	lymph node
GSM306940	GSE12195	lymph node
GSM146148	GSE6338	T-cell lymphoma cell
GSM146149	GSE6338	T-cell lymphoma cell
GSM146146	GSE6338	T-cell lymphoma cell
GSM146147	GSE6338	T-cell lymphoma cell
GSM146144	GSE6338	T-cell lymphoma cell
GSM146145	GSE6338	T-cell lymphoma cell
GSM146142	GSE6338	T-cell lymphoma cell
GSM146143	GSE6338	T-cell lymphoma cell
GSM648699	GSE26440	blood
GSM648698	GSE26440	blood
GSM648691	GSE26440	blood
GSM648690	GSE26440	blood
GSM648693	GSE26440	blood
GSM648692	GSE26440	blood
GSM648695	GSE26440	blood
GSM648694	GSE26440	blood
GSM648697	GSE26440	blood
GSM648696	GSE26440	blood
GSM281322	GSE11151	papillary renal cell carcinoma cell
GSM281323	GSE11151	papillary renal cell carcinoma cell
GSM281320	GSE11151	papillary renal cell carcinoma cell
GSM281321	GSE11151	papillary renal cell carcinoma cell
GSM281326	GSE11151	papillary renal cell carcinoma cell
GSM281327	GSE11151	papillary renal cell carcinoma cell
GSM281324	GSE11151	papillary renal cell carcinoma cell
GSM281325	GSE11151	papillary renal cell carcinoma cell
GSM281328	GSE11151	papillary renal cell carcinoma cell
GSM281329	GSE11151	papillary renal cell carcinoma cell
GSM371658	GSE14879	T-lymphocyte
GSM371659	GSE14879	T-lymphocyte
GSM371388	GSE14844	blood
GSM371389	GSE14844	blood
GSM371380	GSE14844	blood
GSM371381	GSE14844	blood
GSM371382	GSE14844	blood
GSM371383	GSE14844	blood
GSM371384	GSE14844	blood
GSM371385	GSE14844	blood
GSM371386	GSE14844	blood
GSM371387	GSE14844	blood
GSM490148	GSE19650	pancreas, epithelial cell
GSM490149	GSE19650	pancreas, epithelial cell
GSM490146	GSE19650	pancreas, epithelial cell
GSM490145	GSE19650	pancreas, epithelial cell
GSM578964	GSE23610	MCF-7 cell
GSM711687	GSE28726	T-lymphocyte
GSM711686	GSE28726	T-lymphocyte
GSM711685	GSE28726	T-lymphocyte
GSM335938	GSE13307	brain
GSM464377	GSE18696	entorhinal cortex
GSM464378	GSE18696	entorhinal cortex
GSM464379	GSE18696	entorhinal cortex
GSM101652	GSE4536	brain
GSM101651	GSE4536	brain
GSM101650	GSE4536	brain
GSM693853	GSE28044	oviduct
GSM693852	GSE28044	oviduct
GSM693851	GSE28044	oviduct
GSM693850	GSE28044	oviduct
GSM693854	GSE28044	oviduct
GSM651430	GSE26495	T-lymphocyte
GSM272566	GSE10792	leukemia cell, blood, bone marrow, leukocyte
GSM272564	GSE10792	leukemia cell, blood, bone marrow, leukocyte
GSM272565	GSE10792	leukemia cell, peripheral blood, blood platelet
GSM272562	GSE10792	leukemia cell, blood, bone marrow, leukocyte
GSM272563	GSE10792	leukemia cell, blood, bone marrow, leukocyte
GSM272560	GSE10792	leukemia cell, blood, bone marrow, leukocyte
GSM272568	GSE10792	leukemia cell, blood, bone marrow, leukocyte
GSM272569	GSE10792	leukemia cell, blood, bone marrow, leukocyte
GSM261298	GSE10334	gingiva
GSM261299	GSE10334	gingiva
GSM275039	GSE10846, GSE11318	lymph node, B-cell lymphoma cell
GSM230414	GSE9103	skeletal muscle
GSM230415	GSE9103	skeletal muscle
GSM275031	GSE10846, GSE11318	lymph node, B-cell lymphoma cell
GSM275030	GSE10846, GSE11318	lymph node, B-cell lymphoma cell
GSM275033	GSE10846, GSE11318	lymph node, B-cell lymphoma cell
GSM275032	GSE10846, GSE11318	lymph node, B-cell lymphoma cell
GSM275035	GSE10846, GSE11318	lymph node, B-cell lymphoma cell
GSM230416	GSE9103	skeletal muscle
GSM275037	GSE10846, GSE11318	lymph node, B-cell lymphoma cell
GSM275036	GSE10846, GSE11318	lymph node, B-cell lymphoma cell
GSM230417	GSE9103	skeletal muscle
GSM230410	GSE9103	skeletal muscle
GSM249986	GSE9890, GSE9899	ovarian serous carcinoma cell
GSM249987	GSE9890, GSE9899	ovarian serous carcinoma cell
GSM249984	GSE9890, GSE9899	ovarian serous carcinoma cell
GSM249985	GSE9890, GSE9899	endometrioid carcinoma cell
GSM249983	GSE9890, GSE9899	ovarian serous carcinoma cell
GSM249980	GSE9890, GSE9899	ovarian serous carcinoma cell
GSM249981	GSE9890, GSE9899	ovarian serous carcinoma cell
GSM249988	GSE9890, GSE9899	ovarian serous carcinoma cell
GSM342903	GSE13070	skeletal muscle
GSM342907	GSE13070	skeletal muscle
GSM350257	GSE13904	blood
GSM304415	GSE12079	T-lymphocyte
GSM350255	GSE13904	blood
GSM350254	GSE13904	blood
GSM290399	GSE11524	sickle cell, blood platelet, peripheral blood
GSM290398	GSE11524	sickle cell, blood platelet, peripheral blood
GSM350251	GSE13904	blood
GSM350250	GSE13904	blood
GSM290397	GSE11524	sickle cell, blood platelet, peripheral blood
GSM290396	GSE11524	sickle cell, blood platelet, peripheral blood
GSM350259	GSE13904	blood
GSM350258	GSE13904	blood
GSM387099	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM387098	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM387091	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM387090	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM387093	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM387094	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM387097	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM272959	GSE10810	breast
GSM272958	GSE10810	breast
GSM272957	GSE10810	breast
GSM272956	GSE10810	breast
GSM272955	GSE10810	breast
GSM272954	GSE10810	breast
GSM139131	GSE6222	liver
GSM272952	GSE10810	breast
GSM272951	GSE10810	breast
GSM272950	GSE10810	breast
GSM238763	GSE5281	entorhinal cortex
GSM124675	GSE11881	peripheral blood mononuclear cell
GSM603045	GSE24487	skin fibroblast cell line
GSM603044	GSE24487	skin fibroblast cell line
GSM603043	GSE24487	BJ cell
GSM122539	GSE5372	respiratory epithelium cell
GSM122538	GSE5372	respiratory epithelium cell
GSM122535	GSE5372	respiratory epithelium cell
GSM122534	GSE5372	respiratory epithelium cell
GSM122537	GSE5372	respiratory epithelium cell
GSM122536	GSE5372	respiratory epithelium cell
GSM122531	GSE5372	respiratory epithelium cell
GSM122530	GSE5372	respiratory epithelium cell
GSM122533	GSE5372	respiratory epithelium cell
GSM122532	GSE5372	respiratory epithelium cell
GSM564833	GSE22859, GSE22872	cervical carcinoma cell, HeLa cell
GSM97913	GSE4290	brain
GSM97912	GSE4290	brain
GSM97911	GSE4290	brain
GSM97910	GSE4290	brain
GSM97917	GSE4290	brain
GSM97916	GSE4290	brain
GSM97915	GSE4290	brain
GSM97914	GSE4290	brain
GSM97919	GSE4290	brain
GSM97918	GSE4290	brain
GSM312559	GSE12446	uterine endometrium
GSM312552	GSE12446	uterine endometrium
GSM312553	GSE12446	uterine endometrium
GSM312551	GSE12446	uterine endometrium
GSM312557	GSE12446	uterine endometrium
GSM312554	GSE12446	uterine endometrium
GSM312555	GSE12446	uterine endometrium
GSM275174	GSE10846, GSE17372	lymph node
GSM563250	GSE22779	mononuclear cell, peripheral blood
GSM275175	GSE10846, GSE17372	lymph node
GSM563256	GSE22779	mononuclear cell, peripheral blood
GSM563255	GSE22779	mononuclear cell, peripheral blood
GSM563254	GSE22779	mononuclear cell, peripheral blood
GSM211872	GSE8581	lung
GSM275172	GSE10846, GSE17372	lymph node
GSM275173	GSE10846	lymph node
GSM491178	GSE19615	breast
GSM491179	GSE19615	breast
GSM491175	GSE19615	breast
GSM491176	GSE19615	breast
GSM491177	GSE19615	breast
GSM516678	GSE20565	ovarian serous carcinoma cell
GSM400723	GSE16015	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM407110	GSE16214	peripheral blood mononuclear cell
GSM400721	GSE16015	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM400720	GSE16015	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM400727	GSE16015	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM407114	GSE16214	peripheral blood mononuclear cell
GSM407117	GSE16214	peripheral blood mononuclear cell
GSM407116	GSE16214	peripheral blood mononuclear cell
GSM389789	GSE15578	ovarian surface epithelial cell
GSM389788	GSE15578	epithelial ovarian cancer cell
GSM389783	GSE15578	ovarian surface epithelial cell
GSM389782	GSE15578	ovarian surface epithelial cell
GSM389786	GSE15578	epithelial ovarian cancer cell
GSM389785	GSE15578	epithelial ovarian cancer cell
GSM673961	GSE27263	blood
GSM673960	GSE27263	blood
GSM673963	GSE27263	blood
GSM673962	GSE27263	blood
GSM673965	GSE27263	blood
GSM155631	GSE6798	skeletal muscle
GSM673967	GSE27263	blood
GSM673966	GSE27263	blood
GSM673969	GSE27263	blood
GSM673968	GSE27263	blood
GSM271848	GSE10767	B-lymphocyte, tonsil
GSM271849	GSE10767	B-lymphocyte, tonsil
GSM271847	GSE10767	B-lymphocyte, tonsil
GSM523378	GSE20916	colon
GSM523379	GSE20916	colon
GSM523370	GSE20916	colon
GSM523371	GSE20916	colon
GSM523372	GSE20916	colon
GSM523373	GSE20916	colon
GSM523374	GSE20916	colon
GSM523375	GSE20916	colon
GSM523376	GSE20916	colon
GSM523377	GSE20916	colon
GSM450710	GSE18018	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM377467	GSE15090	skeletal muscle
GSM377465	GSE15090	skeletal muscle
GSM377464	GSE15090	skeletal muscle
GSM377462	GSE15090	skeletal muscle
GSM377461	GSE15090	skeletal muscle
GSM377468	GSE15090	skeletal muscle
GSM234850	GSE9250	chronic lymphocytic leukemia cell
GSM555975	GSE22334, GSE22337	CAPAN-1 cell
GSM555978	GSE22334, GSE22337	CAPAN-1 cell
GSM258898	GSE10445	lung
GSM258899	GSE10445	lung
GSM258896	GSE10445	lung
GSM258897	GSE10445	lung
GSM258895	GSE10445	lung
GSM654656	GSE26599	breast epithelial cell, HB4a cell
GSM489337	GSE19625, GSE19627	monocyte
GSM654650	GSE26599	breast epithelial cell, HB4a cell
GSM489339	GSE19625, GSE19627	monocyte
GSM489338	GSE19625, GSE19627	monocyte
GSM654652	GSE26599	breast epithelial cell, HB4a cell
GSM654653	GSE26599	breast epithelial cell, HB4a cell
GSM97967	GSE4290	brain
GSM97965	GSE4290, GSE4536	brain
GSM261311	GSE10334	gingiva
GSM261310	GSE10334	gingiva
GSM261313	GSE10334	gingiva
GSM261312	GSE10334	gingiva
GSM261315	GSE10334	gingiva
GSM261314	GSE10334	gingiva
GSM261317	GSE10334	gingiva
GSM261316	GSE10334	gingiva
GSM261319	GSE10334	gingiva
GSM261318	GSE10334	gingiva
GSM381343	GSE15271	tonsil
GSM381342	GSE15271	tonsil
GSM381341	GSE15271	tonsil
GSM381340	GSE15271	tonsil
GSM381346	GSE15271	tonsil
GSM381345	GSE15271	tonsil
GSM381344	GSE15271	tonsil
GSM401081	GSE16028	blood
GSM401080	GSE16028	blood
GSM401083	GSE16028	blood
GSM401082	GSE16028	blood
GSM401085	GSE16028	blood
GSM401084	GSE16028	blood
GSM401087	GSE16028	blood
GSM401086	GSE16028	blood
GSM401089	GSE16028	blood
GSM401088	GSE16028	blood
GSM124850	GSE11881	peripheral blood mononuclear cell
GSM124851	GSE11881	peripheral blood mononuclear cell
GSM124853	GSE11881	peripheral blood mononuclear cell
GSM472081	GSE19069	T-cell lymphoma cell
GSM472080	GSE19069	T-cell lymphoma cell
GSM472087	GSE19069	T-cell lymphoma cell
GSM472086	GSE19069	T-cell lymphoma cell
GSM472085	GSE19069	T-cell lymphoma cell
GSM472084	GSE19069	T-cell lymphoma cell
GSM472088	GSE19069	T-cell lymphoma cell
GSM387115	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM380430	GSE15220	testis
GSM387116	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM387117	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM387110	GSE15434	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM156178	GSE6798	skeletal muscle
GSM156179	GSE6798	skeletal muscle
GSM156176	GSE6798	skeletal muscle
GSM156177	GSE6798	skeletal muscle
GSM156170	GSE6798	skeletal muscle
GSM156171	GSE6798	skeletal muscle
GSM277798	GSE10971	oviduct
GSM277799	GSE10971	oviduct
GSM277796	GSE10971	oviduct
GSM277797	GSE10971	oviduct
GSM277794	GSE10971	oviduct
GSM277795	GSE10971	oviduct
GSM277792	GSE10971	oviduct
GSM277793	GSE10971	oviduct
GSM277790	GSE10971	oviduct
GSM277791	GSE10971	oviduct
GSM388139	GSE15471	pancreas
GSM388138	GSE15471	pancreas
GSM432999	GSE17306	plasma cell
GSM432998	GSE17306	plasma cell
GSM388136	GSE15471	pancreas
GSM432995	GSE17306	plasma cell
GSM432994	GSE17306	plasma cell
GSM432997	GSE17306	plasma cell
GSM432996	GSE17306	plasma cell
GSM432991	GSE17306	plasma cell
GSM229909	GSE9055	HUVEC cell
GSM432993	GSE17306	plasma cell
GSM432992	GSE17306	plasma cell
GSM125062	GSE5460	breast
GSM125063	GSE5460	breast
GSM125060	GSE5460	breast
GSM125061	GSE5460	breast
GSM125066	GSE5460	breast
GSM125067	GSE5460	breast
GSM125064	GSE5460	breast
GSM125065	GSE5460	breast
GSM125068	GSE5460	breast
GSM125069	GSE5460	breast
GSM398901	GSE12079	T-lymphocyte
GSM398908	GSE12079	T-lymphocyte
GSM400794	GSE16015	mononuclear cell, acute myeloid leukemia cell, bone marrow
GSM483308	GSE19429	hematopoietic stem cell, bone marrow
GSM483309	GSE19429	hematopoietic stem cell, bone marrow
GSM483304	GSE19429	hematopoietic stem cell, bone marrow
GSM483305	GSE19429	hematopoietic stem cell, bone marrow
GSM483306	GSE19429	hematopoietic stem cell, bone marrow
GSM483307	GSE19429	hematopoietic stem cell, bone marrow
GSM483300	GSE19429	hematopoietic stem cell, bone marrow
GSM483301	GSE19429	hematopoietic stem cell, bone marrow
GSM447197	GSE17907	breast
GSM351424	GSE13987	T-lymphocyte, peripheral blood mononuclear cell
GSM351423	GSE13987	T-lymphocyte, peripheral blood mononuclear cell
GSM351422	GSE13987	T-lymphocyte, peripheral blood mononuclear cell
GSM351421	GSE13987	T-lymphocyte, peripheral blood mononuclear cell
GSM351420	GSE13987	T-lymphocyte, peripheral blood mononuclear cell
GSM445975	GSE17855, GSE22056	acute myeloid leukemia cell
GSM445974	GSE17855, GSE22056	acute myeloid leukemia cell
GSM445977	GSE17855, GSE22056	acute myeloid leukemia cell
GSM445976	GSE17855, GSE22056	acute myeloid leukemia cell
GSM445971	GSE17855, GSE22056	acute myeloid leukemia cell
GSM445970	GSE17855, GSE22056	acute myeloid leukemia cell
GSM445973	GSE17855, GSE22056	acute myeloid leukemia cell
GSM445972	GSE17855, GSE22056	acute myeloid leukemia cell
GSM445979	GSE17855, GSE22056	acute myeloid leukemia cell
GSM445978	GSE17855, GSE22056	acute myeloid leukemia cell
GSM447229	GSE17907	breast
GSM447228	GSE17907	breast
GSM679726	GSE27515	breast cancer cell line
GSM447223	GSE17907	breast
GSM447222	GSE17907	breast
GSM447221	GSE17907	breast
GSM447220	GSE17907	breast
GSM447227	GSE17907	breast
GSM447226	GSE17907	breast
GSM447225	GSE17907	breast
GSM447224	GSE17907	breast
GSM730686	GSE29524	hematopoietic stem cell, umbilical cord blood
GSM247700	GSE9819	brain
GSM247701	GSE9819	brain
GSM194458	GSE7904	breast
GSM194457	GSE7904	breast
GSM194456	GSE7904	breast
GSM194455	GSE7904	breast
GSM194454	GSE7904	breast
GSM194453	GSE7904	breast
GSM194452	GSE7904	breast
GSM290409	GSE11524	sickle cell, blood platelet, peripheral blood
GSM290408	GSE11524	sickle cell, blood platelet, peripheral blood
GSM290401	GSE11524	sickle cell, blood platelet, peripheral blood
GSM290400	GSE11524	sickle cell, blood platelet, peripheral blood
GSM290403	GSE11524	sickle cell, blood platelet, peripheral blood
GSM290402	GSE11524	sickle cell, blood platelet, peripheral blood
GSM290405	GSE11524	sickle cell, blood platelet, peripheral blood
GSM290404	GSE11524	sickle cell, blood platelet, peripheral blood
GSM290407	GSE11524	sickle cell, blood platelet, peripheral blood
GSM290406	GSE11524	sickle cell, blood platelet, peripheral blood
GSM292139	GSE11581	MCF-7 cell
GSM292138	GSE11581	MCF-7 cell
GSM292137	GSE11581	MCF-7 cell
GSM292136	GSE11581	MCF-7 cell
GSM259073	GSE10445	lung
GSM251686	GSE9951	prostate gland
GSM726204	GSE10358	bone marrow
GSM574060	GSE22499, GSE23402	skin fibroblast cell line
GSM280343	GSE11199	macrophage
GSM280342	GSE11199	macrophage
GSM280341	GSE11199	macrophage
GSM280340	GSE11199	macrophage
GSM280347	GSE11199	macrophage
GSM280346	GSE11199	macrophage
GSM280345	GSE11199	macrophage
GSM280344	GSE11199	macrophage
GSM280349	GSE11199	macrophage
GSM280348	GSE11199	macrophage
GSM281432	GSE11166	kidney
GSM281433	GSE11166	kidney
GSM281430	GSE11166	kidney
GSM281431	GSE11166	kidney
GSM281436	GSE11166	kidney
GSM281437	GSE11166	kidney
GSM281434	GSE11166	kidney
GSM281435	GSE11166	kidney
GSM281438	GSE11166	kidney
GSM281439	GSE11166	kidney
GSM158822	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM158823	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM158820	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
GSM158821	GSE14468	mononuclear cell, blast cell, acute myeloid leukemia cell
